,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
209,sotu,52000,196,218,128,128,male,58.0,0.0,0.001,0.003,0.0,0.0,0.0,0.996,0.001,0.0
210,sotu,52000,928,257,119,119,female,55.0,0.127,0.0,0.001,0.0,0.0,0.127,0.867,0.004,0.0
211,sotu,53000,539,117,142,142,male,67.0,0.0,0.001,0.001,0.001,0.002,0.0,0.464,0.528,0.003
212,sotu,53000,235,219,126,126,male,58.0,0.0,0.003,0.001,0.0,0.0,0.0,0.996,0.0,0.0
213,sotu,53000,948,265,116,116,female,56.0,0.112,0.0,0.147,0.0,0.0,0.112,0.733,0.007,0.0
214,sotu,54000,153,204,176,176,male,61.0,0.0,0.009,0.002,0.002,0.0,0.0,0.971,0.016,0.0
215,sotu,54000,807,311,155,155,male,53.0,0.003,0.018,0.046,0.001,0.0,0.003,0.926,0.005,0.0
216,sotu,55000,513,109,155,155,male,70.0,0.001,0.173,0.001,0.012,0.002,0.001,0.707,0.098,0.004
217,sotu,55000,181,222,129,129,male,58.0,0.0,0.001,0.002,0.0,0.0,0.0,0.995,0.002,0.0
218,sotu,55000,923,264,120,120,female,57.0,0.0,0.0,0.001,0.0,0.0,0.0,0.995,0.004,0.0
219,sotu,56000,138,216,159,159,female,50.0,0.006,0.043,0.002,0.268,0.001,0.006,0.566,0.112,0.001
220,sotu,56000,377,581,165,138,male,45.0,0.0,0.01,0.004,0.0,0.0,0.0,0.893,0.092,0.0
221,sotu,56000,796,276,134,134,female,47.0,0.0,0.0,0.002,0.0,0.0,0.0,0.948,0.05,0.0
222,sotu,57000,508,137,144,144,male,65.0,0.076,0.003,0.001,0.002,0.0,0.076,0.782,0.136,0.0
223,sotu,57000,184,224,128,128,male,61.0,0.0,0.003,0.002,0.0,0.0,0.0,0.988,0.006,0.0
224,sotu,57000,924,267,122,122,female,56.0,0.002,0.0,0.001,0.0,0.0,0.002,0.994,0.003,0.0
225,sotu,58000,725,478,134,134,male,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.012,0.0
226,sotu,58000,1033,225,131,131,female,62.0,0.001,0.0,0.004,0.0,0.0,0.001,0.533,0.462,0.0
227,sotu,58000,561,180,114,114,female,22.0,0.531,0.0,0.001,0.0,0.0,0.531,0.468,0.0,0.0
228,sotu,58000,238,216,100,100,female,43.0,0.05,0.0,0.001,0.0,0.0,0.05,0.924,0.024,0.0
